Gene	a.0	a.2	a.8	a.16	b.0	b.2	b.8	b.16
Gene6257	342800.8074	268682.2221	321494.9727	365827.1799	349133.7199	345632.6611	329608.1554	344603.7359
Gene383	328113.9034	518163.3198	356114.7135	152043.3968	355746.9848	454899.702	291659.9839	204537.314
Gene11609	377636.6294	353339.5319	308686.1886	285461.8444	391241.1292	348724.7776	303367.7843	290403.7851
Gene536	281833.949	407034.3548	347003.4121	266003.7	265921.2295	466765.0823	351499.9152	268718.6753
Gene4118	313542.5016	314322.8255	346941.542	305260.3032	304028.3054	423013.917	338174.3597	305574.3831
Gene8321	302754.6196	217162.4656	353012.684	411402.2529	298172.485	318442.9104	340801.476	404546.082
Gene8807	331175.6363	345390.9987	323070.0558	311414.3996	340426.0898	331028.1966	317504.0115	312278.0796
Gene4363	374727.6193	239932.4348	330694.3739	287194.8181	343160.7888	379027.31	342110.2375	290360.6921
Gene11644	321014.7259	356423.454	317736.2103	304686.3289	329092.2735	300882.9682	318018.3403	316330.8713
Gene926	257894.3707	309480.99	325507.6977	401294.5536	237029.4843	302874.9046	315889.8338	412053.35
Gene10200	319355.8419	285729.4453	341157.5706	349653.2263	299995.5804	296459.264	347690.4654	316059.0187
Gene11448	350531.8826	319555.2384	348120.4979	300829.669	331057.2832	293783.3338	324323.7786	264981.6214
Gene2759	374145.9044	353598.0738	288240.7125	247342.3277	375618.5039	320940.667	322211.1748	250995.6055
Gene10211	376425.6708	136312.0762	312050.6669	320568.1668	337342.037	364442.8757	321505.6781	363776.9244
Gene12074	389191.7987	422955.1701	342835.5792	211951.5507	280733.315	307361.7547	342321.1239	225488.2132
Gene12649	337407.9031	327143.7549	292508.0471	274746.3126	336034.2025	343075.9317	294647.4176	264930.3046
Gene3619	402416.9683	186336.558	291349.9214	326014.081	284741.9668	333641.3517	288348.3942	350554.9839
Gene11894	306578.8668	294485.145	294368.4408	323179.6531	310586.0595	291641.9535	299703.2348	325824.436
Gene11878	317502.0423	325458.8175	316489.0133	288323.7074	279002.6003	274780.5531	322585.1756	318083.2749
Gene2838	360858.4856	342649.6489	256849.5887	214727.6489	387125.6107	367952.9329	294655.6445	216785.9725
Gene8718	369833.3064	346352.129	289048.8476	224757.0102	291637.4145	337478.3292	310876.5892	250350.1257
Gene10592	307561.642	290281.6685	312678.7745	257437.4815	335287.1296	352510.8484	299739.8097	263539.6744
