	Gene	X0h.a	X0h.b	X2h.a	X2h.b	X8h.a	X8h.b	X16h.a	X16h.b
11945	Gene11945	447746.9324	465802.81	430076.4801	387979.7244	402049.5836	414840.3346	366251.2479	371607.7647
12408	Gene12408	516160.8007	443102.4839	385584.2086	465867.6237	432612.8127	448179.6191	254047.2629	292767.1981
689	Gene689	263531.5908	262175.5995	571364.008	526373.7766	469708.5326	455653.2041	332172.1709	333765.4941
11712	Gene11712	435423.5301	441463.5649	403976.8103	318575.0136	386680.9072	398522.0298	418398.9139	401078.9031
326	Gene326	379604.1169	371675.4201	609873.015	490082.1388	407380.9476	391817.5552	272214.1744	278968.1324
11848	Gene11848	493962.8442	397259.7558	478864.9621	422254.6333	361953.3795	403457.0382	286833.2545	337537.5239
11490	Gene11490	435210.2836	413128.245	176312.0886	340709.3796	351766.6005	376932.0755	546108.6056	530340.0201
9681	Gene9681	419738.9457	400703.0116	418067.3735	377685.4239	401455.1269	404253.2848	345607.7218	371122.4797
2544	Gene2544	478553.9997	468161.7003	351409.456	423560.478	384833.4806	420588.0395	304815.9728	297306.801
3844	Gene3844	423050.7248	388081.4803	413206.3633	414019.6266	396995.4622	415828.258	286376.4369	310339.9383
427	Gene427	267380.5603	264627.5345	479848.2781	526006.3991	407837.5089	393313.2281	341856.2409	352665.1899
4022	Gene4022	418344.8155	420081.2466	405236.9812	391451.8265	358546.6014	370365.8966	331325.7515	326480.9022
9481	Gene9481	385505.7768	236820.1378	487816.0419	414747.9982	396000.8804	399244.9862	314358.3775	344946.9729
7216	Gene7216	441471.8855	397823.236	411076.8537	387085.3173	382532.0198	372451.1316	284138.5738	291305.3231
3664	Gene3664	492859.7044	355436.9785	396033.3925	439611.1262	369041.4739	393346.1928	236530.3791	268405.2149
3112	Gene3112	436014.6968	476206.7927	366302.8206	443590.2371	332511.9498	344267.034	261350.1019	278233.9132
681	Gene681	317260.6094	305700.416	436029.3747	530906.0276	433046.328	375856.2727	268547.7926	270584.4302
2848	Gene2848	392172.1833	420622.1338	491787.5893	503394.9409	323115.4189	296058.9896	255641.5244	232916.4989
2419	Gene2419	458823.7871	459714.8404	370186.6105	353259.9065	319103.4673	342704.9571	308242.4196	291534.852
10620	Gene10620	567900.9233	427141.4401	245096.7072	376529.7863	416941.1292	422537.4412	166652.3502	270479.561
11622	Gene11622	356166.4152	358347.5846	373371.6787	372840.2163	326468.6287	361189.1386	328231.5362	382320.3011
10113	Gene10113	389045.3774	431162.4477	385668.4334	353514.6774	335975.523	353460.3484	272588.8557	315430.9637
2867	Gene2867	440607.0684	437065.2707	341803.7342	405430.6576	324083.2587	345928.2152	264369.7672	267924.9693
13116	Gene13116	367541.2013	365731.8969	382536.4873	380771.6093	341868.2548	330416.7818	321734.0804	334084.6576
12505	Gene12505	363705.2093	385138.0616	377748.3938	349318.5618	335984.34	334056.0349	342138.8297	331930.0111
6847	Gene6847	273964.6871	295682.6819	361131.2866	318323.2547	368034.2992	362128.3402	429963.2158	409741.6701
925	Gene925	281365.4329	258586.6614	336098.3368	332198.5034	353522.5897	343571.6554	450722.3949	456485.3055
11871	Gene11871	367530.2076	385061.5886	327204.1725	305021.3954	348390.0888	366606.3882	346402.1141	344794.595
4790	Gene4790	351229.3565	331448.4472	283513.3817	354105.5146	353938.8598	352254.2732	360630.2147	372236.3487
3378	Gene3378	378314.6154	387152.0165	387745.3571	345933.8129	320567.3575	329224.2599	287633.7897	290031.2627
6257	Gene6257	342800.8074	349133.7199	268682.2221	345632.6611	321494.9727	329608.1554	365827.1799	344603.7359
383	Gene383	328113.9034	355746.9848	518163.3198	454899.702	356114.7135	291659.9839	152043.3968	204537.314
11609	Gene11609	377636.6294	391241.1292	353339.5319	348724.7776	308686.1886	303367.7843	285461.8444	290403.7851
536	Gene536	281833.949	265921.2295	407034.3548	466765.0823	347003.4121	351499.9152	266003.7	268718.6753
4118	Gene4118	313542.5016	304028.3054	314322.8255	423013.917	346941.542	338174.3597	305260.3032	305574.3831
8321	Gene8321	302754.6196	298172.485	217162.4656	318442.9104	353012.684	340801.476	411402.2529	404546.082
