	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gene9153	-0.208620935818656	3.77470851468384	-1.89538051564122	0.0922804439424465	0.999988671207323	-4.37787876029438
Gene4582	0.287004177912183	4.59362298732105	1.75309485007446	0.115260864514579	0.999988671207323	-4.38058973661529
Gene10345	-0.148214458290096	7.04778531131004	-1.69510554115627	0.126074394308256	0.999988671207323	-4.38094672579977
Gene11188	-0.191305953063219	4.80141726698402	-1.73506449684292	0.118527499726952	0.999988671207323	-4.38101798258844
Gene8056	-0.161886115781787	8.18533083628688	-1.70970378898377	0.123267352356027	0.999988671207323	-4.38149342683111
Gene6394	-0.264790237562593	4.32815323647463	-1.7751802786257	0.111373482490988	0.999988671207323	-4.38229836192182
Gene4108	0.342751641933757	5.18611906322546	1.70972252145826	0.123263787640131	0.999988671207323	-4.38308163375941
Gene3884	-0.330426493842598	8.3572968281279	-1.70306580241696	0.124536533208249	0.999988671207323	-4.38418935969256
Gene10156	0.274286158387389	6.75340505942491	1.6798327625381	0.129073957322026	0.999988671207323	-4.38429805217011
Gene5989	0.184209639948016	6.8010405374189	1.67948241168553	0.12914352820877	0.999988671207323	-4.38469751665827
Gene5115	0.227702323566913	4.8752165815178	1.7194673182894	0.121422226643729	0.999988671207323	-4.38491125825407
Gene5564	0.274282515740688	5.07359300886306	1.70903422696635	0.123394829781035	0.999988671207323	-4.38497099514368
Gene8236	-0.239318010319352	5.12185968487716	-1.70499279304942	0.124166858720432	0.999988671207323	-4.38560740192669
Gene13406	0.41659427769776	4.90949536023715	1.71657384472774	0.121966364698154	0.999988671207323	-4.38563083942775
Gene10865	-0.509694344345799	5.84532382589262	-1.67710790883346	0.129615951921406	0.999988671207323	-4.38695027117462
Gene7083	0.243199649921807	4.82955725909881	1.71628118133503	0.122021527260939	0.999988671207323	-4.38707638036377
Gene8303	0.289323188817107	3.48301691352706	1.99047958551764	0.0794155103947826	0.999988671207323	-4.38843210796583
Gene11246	-0.174121666566344	5.35262619692891	-1.68834177056669	0.127394805934545	0.999988671207323	-4.38863713357393
Gene12714	0.223975092486569	4.3915577033052	1.74336209045183	0.117013675519207	0.999988671207323	-4.39029702852433
Gene5702	0.252412928535115	8.24993538640517	1.68523769493542	0.128005021086209	0.999988671207323	-4.39063874175777
Gene7604	-0.438235047994498	3.80206423818908	-1.8467892368547	0.0995947277562446	0.999988671207323	-4.39265165658736
Gene10604	0.215008677178835	5.08479633238584	1.6859566484921	0.127863447159039	0.999988671207323	-4.39308583170012
Gene9890	-0.239809602599091	3.93461403246266	-1.7993260898241	0.107263400895823	0.999988671207323	-4.39328769556552
Gene11454	-0.351736119305266	4.40701668233306	-1.73183900063424	0.119120842543751	0.999988671207323	-4.39389028923248
Gene13327	0.43486952146817	4.01196908407609	1.78681227060207	0.109375486930846	0.999988671207323	-4.39434017542913
