GENE	ANOVA P
Gene608	0.003004964
Gene609	0.001974137
Gene610	0.001372485
Gene611	0.004707347
Gene612	0.001276935
Gene613	0.003589695
Gene614	0.01013954
Gene615	0.000327171
Gene616	0.00796455
Gene617	0.003635607
Gene618	0.007898677
Gene619	0.012376006
Gene620	0.021106678
Gene621	0.002173167
Gene622	0.001219497
Gene623	0.000252963
Gene624	0.003517085
Gene625	0.000770696
Gene626	0.000367457
Gene627	4.271799955
Gene628	0.019546409
Gene629	0.017721626
Gene630	0.00121141
Gene631	0.000554451
Gene632	0.000394865
Gene633	0.002024487
Gene634	0.001236535
Gene635	0.000502346
Gene636	0.01777136
Gene637	0.002429029
Gene638	0.005349376
Gene639	0.001579248
Gene640	0.000174137
Gene641	0.000706772
Gene642	0.017559671
Gene643	0.009050007
Gene644	0.012309801
Gene645	0.000341283
Gene646	0.000600963
Gene647	0.008425045
Gene648	0.000429267
Gene649	0.001521122
Gene650	0.000904951
Gene651	0.00029628
Gene652	0.009612763
Gene653	0.003369025
Gene654	0.011841285
Gene655	3.365571622
Gene656	0.001481335
Gene657	0.006036315
Gene658	0.002595213
Gene659	0.003985629
Gene660	0.008809011
Gene661	0.000412171
Gene662	0.017277692
Gene663	0.017006408
Gene664	0.003991685
Gene665	0.021553861
Gene666	0.001404655
Gene667	0.002902547
Gene668	0.015796552
Gene669	0.003072105
Gene670	0.000229041
Gene671	0.003549
Gene672	0.004155377
Gene673	0.003574664
Gene674	0.01584962
Gene675	0.006663303
Gene676	0.006561848
Gene677	0.007198121
Gene678	0.008710335
Gene679	0.005114301
Gene680	0.009897515
Gene681	0.018528689
Gene682	0.014315219
Gene683	0.001656126
Gene684	0.000547768
Gene685	0.001678722
Gene686	0.002805024
Gene687	0.024160073
Gene688	0.003894006
Gene689	0.000231838
Gene690	7.0806103
Gene691	0.016286986
Gene692	0.014864109
Gene693	0.010416596
Gene694	0.000395081
Gene695	0.000591102
Gene696	0.001260839
Gene697	0.01815972
Gene698	0.004114825
Gene699	0.000826396
Gene700	0.002163984
Gene701	0.016671369
Gene702	0.001305783
Gene703	0.008581554
Gene704	0.018573801
Gene705	0.023478869
Gene706	0.003122649
Gene707	0.019043702
Gene708	0.013351515
Gene709	0.003062875
Gene710	0.004689256
Gene711	0.013377825
Gene712	0.004558456
Gene713	0.001246026
Gene714	0.000143657
Gene715	0.000287501
Gene716	0.001428824
Gene717	0.023466528
Gene718	0.0121918
Gene719	0.014273918
Gene720	0.021583734
Gene721	0.002816566
Gene722	0.018217266
Gene723	0.005887713
Gene724	0.009452942
Gene725	0.004043209
Gene726	0.006680076
Gene727	0.014678752
Gene728	0.011397824
Gene729	0.000188028
Gene730	0.006143816
Gene731	0.000925022
Gene732	0.001318871
Gene733	0.001500908
Gene734	0.001036678
Gene735	0.00257986
Gene736	0.00012239
Gene737	0.000567735
Gene738	0.002662244
Gene739	0.011019538
Gene740	3.744567746
Gene741	0.003565074
Gene742	0.000295766
Gene743	0.000376136
Gene744	0.001290597
Gene745	0.003778047
Gene746	0.007437352
Gene747	0.008578686
Gene748	0.008414572
Gene749	0.003866174
Gene750	0.010618132
Gene751	0.002076649
Gene752	0.016052505
Gene753	0.004976428
Gene754	0.018078517
Gene755	0.000108491
Gene756	0.006351215
Gene757	0.016112073
Gene758	0.01165045
Gene759	0.02040785
Gene760	0.005646353
Gene761	0.000586865
Gene762	0.006775133
Gene763	0.000805303
Gene764	0.004071504
Gene765	0.000128567
Gene766	0.00858855
Gene767	0.007796658
Gene768	0.000939572
Gene769	0.00020657
Gene770	0.006917094
Gene771	0.014479732
Gene772	0.015145103
Gene773	4.426287039
Gene774	0.018128991
Gene775	0.00214972
Gene776	0.023633357
Gene777	0.000677432
Gene778	0.014360183
Gene779	0.004879107
Gene780	0.021868723
Gene781	0.003914945
Gene782	0.000785922
Gene783	7.498345265
Gene784	0.000865727
Gene785	0.000873986
Gene786	0.000475056
Gene787	0.003002736
Gene788	0.001173151
Gene789	0.008159569
Gene790	0.011630053
Gene791	3.503291542
Gene792	3.134164941
Gene793	4.915582849
Gene794	0.000211208
Gene795	0.001285208
Gene796	0.005823262
Gene797	0.000505969
Gene798	0.003531179
Gene799	0.000338141
Gene800	0.002646668
Gene801	0.004418969
Gene802	0.013489116
Gene803	0.007921549
Gene804	0.00526746
Gene805	0.019369065
Gene806	0.019496079
Gene807	0.001147267
Gene808	0.002865737
Gene809	0.006154359
Gene810	0.000411299
Gene811	0.002252323
Gene812	0.00284717
Gene813	0.001724874
Gene814	0.000284036
Gene815	0.005473423
Gene816	0.001090893
Gene817	0.005958908
Gene818	0.003948445
Gene819	0.009005746
Gene820	0.009288251
Gene821	0.007375394
Gene822	0.000434948
Gene823	0.018945895
Gene824	0.004803236
Gene825	0.020077997
Gene826	0.001213631
Gene827	0.022616009
Gene828	0.002413014
Gene829	0.000165469
Gene830	3.260382736
Gene831	0.005096503
Gene832	0.00976154
Gene833	0.013206391
Gene834	0.00592958
Gene835	4.517094119
Gene836	0.001434443
Gene837	0.002231925
Gene838	0.006320994
Gene839	0.002705098
Gene840	0.001538927
Gene841	0.00987281
Gene842	0.007869588
Gene843	0.000591508
Gene844	0.00119137
Gene845	0.00048595
Gene846	0.000170495
Gene847	0.002199278
Gene848	0.001063696
Gene849	0.00987719
Gene850	0.006358285
Gene851	3.168946117
Gene852	0.002056234
Gene853	0.003505203
Gene854	0.000126208
Gene855	0.000362829
Gene856	0.002181881
Gene857	2.628529042
Gene858	0.001121975
Gene859	0.004458186
Gene860	0.008095978
Gene861	0.003725975
Gene862	0.00329658
Gene863	0.002760087
Gene864	8.83345885
Gene865	0.001505562
Gene866	0.000118363
Gene867	0.018078688
Gene868	0.007472076
Gene869	0.019018726
Gene870	0.009182351
Gene871	0.022028503
Gene872	0.01152246
Gene873	0.000948378
Gene874	0.000904868
Gene875	0.000276497
Gene876	0.022076771
Gene877	0.002229974
Gene878	0.00272238
Gene879	8.413596036
Gene880	0.016109143
Gene881	0.022353284
Gene882	0.002714053
Gene883	0.006338612
Gene884	0.000839229
Gene885	0.010903698
Gene886	0.005927479
Gene887	0.000685684
Gene888	0.018363712
Gene889	0.001610459
Gene890	0.006068407
Gene891	0.010401089
Gene892	5.150196994
Gene893	0.000141951
Gene894	0.003541073
Gene895	0.010683295
Gene896	0.0166658
Gene897	0.019852544
Gene898	0.000723634
Gene899	2.236836217
Gene900	0.004930448
Gene901	0.003752932
Gene902	0.0031106
Gene903	0.001282911
Gene904	0.001232183
Gene905	1.377366019
Gene906	0.001599207
Gene907	0.000234004
Gene908	0.007154425
Gene909	0.001911384
Gene910	0.002213138
Gene911	0.00946063
Gene912	0.003770096
Gene913	0.003131724
Gene914	0.001196593
Gene915	0.0014224
Gene916	0.003877885
Gene917	0.021269388
Gene918	0.022757294
Gene919	0.005848933
Gene920	0.02037437
Gene921	9.369609441
Gene922	9.279707702
Gene923	0.016819369
Gene924	0.019268614
Gene925	0.000147873
Gene926	0.00031558
Gene927	0.002764383
Gene928	0.023254518
Gene929	0.000395231
Gene930	0.002604288
Gene931	0.000507053
Gene932	0.001266126
Gene933	0.001645148
Gene934	3.015679373
Gene935	0.001264003
Gene936	2.686764462
Gene937	1.628774446
Gene938	0.000196727
Gene939	0.00050124
Gene940	0.021037122
Gene941	0.005540744
Gene942	0.010732327
Gene943	0.005630073
Gene944	0.004974835
Gene945	0.006807477
Gene946	0.005208644
Gene947	0.003684538
Gene948	2.576087267
Gene949	0.011259841
Gene950	0.002670623
Gene951	0.000164746
Gene952	9.897166643
Gene953	0.011329978
Gene954	0.005382909
Gene955	0.003823372
Gene956	0.015640238
Gene957	0.00198009
Gene958	0.000506406
Gene959	0.022745293
Gene960	0.004835837
Gene961	0.003647225
Gene962	0.000788747
Gene963	0.00111853
Gene964	0.02188752
Gene965	0.001806199
Gene966	0.018351172
Gene967	0.000116178
Gene968	0.003731309
Gene969	0.00023971
Gene970	0.000507417
Gene971	0.003992175
Gene972	0.001842026
Gene973	0.01939296
Gene974	0.013139429
Gene975	0.006117026
Gene976	0.009110309
Gene977	0.002081112
Gene978	0.000740945
Gene979	2.056672557
Gene980	0.021048456
Gene981	0.016452374
Gene982	8.127649457
Gene983	0.002036095
Gene984	9.161828888
Gene985	9.247082084
Gene986	0.011791754
Gene987	0.003257601
Gene988	0.001170568
Gene989	0.016891367
Gene990	0.000469563
Gene991	0.003951618
Gene992	0.004663699
Gene993	0.000427227
Gene994	0.007362581
Gene995	0.000346829
Gene996	0.000188059
Gene997	0.00831602
Gene998	0.000660274
Gene999	7.039700499
Gene1000	0.002958363
Gene1001	0.011752173
Gene1002	0.004733674
Gene1003	0.00096978
Gene1004	0.017973877
Gene1005	0.000276584
Gene1006	0.020054689
Gene1007	0.000563047
Gene1008	0.003783846
Gene1009	0.001762725
Gene1010	0.00050316
Gene1011	0.000945876
Gene1012	0.01584888
Gene1013	0.000336883
Gene1014	0.001516803
Gene1015	0.002803494
Gene1016	0.003111355
Gene1017	0.019149249
Gene1018	1.28043601
Gene1019	0.012815872
Gene1020	0.000156641
Gene1021	0.008662417
Gene1022	0.004502028
Gene1023	0.005349533
Gene1024	0.000793313
Gene1025	0.000169281
Gene1026	0.000180468
Gene1027	2.376999346
Gene1028	0.015782832
